Dataset name,Format,Region,Data Dictionary available?,Metadata,Time span,Classification of Trash,Result Units,Characterization,Description,Source,Link,Comments,
List of Landfills,tabular,Statewide,,,,,,Secondary,"The Solid Waste Information System (SWIS) facility database contains information on solid waste facilities, operations, and disposal sites throughout the State of California. The types of facilities found in this database include landfills, transfer stations, material recovery facilities, composting sites, transformation facilities, waste tire sites, and closed disposal sites. For each facility, the database contains information about location, owner, operator, facility type, regulatory and operational status, authorized waste types, local enforcement agency and inspection and enforcement records.",Cal Recycle,https://www2.calrecycle.ca.gov/swfacilities/Directory?AutoBind=true&RegulatoryStatus=Permitted&OperationalStatus=Active&FacilityType=Disposal,,
Landfill locations,tabular,Statewide,No,No,2003,No,,Secondary,Locations only,USGS,https://www.sciencebase.gov/catalog/item/54342392e4b095098ca8d054,,
LA trash receptacles,tabular,Los Angeles,,,,,,Secondary,The City of Los Angeles though LA Sanitation performs periodic indexing of all trash receptacles (Bins) located on public sidewalks as part of its Clean Streets CleanStat program. Each bin has a date associated with its indexing and the last indexing was completed on 09/12/2016. All indication of ownership or maintenance is from visual observation and the city makes no guarantee as to its accuracy or correctness.,City of Los Angeles ,http://geohub.lacity.org/datasets/b998c1a838b4471cb486bb150b2684d9_0,,
Southern California Bight Trawl Debris Data,tabular,Southern CA,,,"1994, 1998, 2003, 2008, 2013",,,,"Regionwide data from 1994, 1998, 2003, 2008 and 2013.",SCCWRP,,,
Southern California Bight Riverine Trash Data,tabular,Southern CA,,,2011-2013,,,,Regionwide data from 2011-2013,SCCWRP,https://hub.arcgis.com/datasets/sccwrp::bight-2013-regional-survey-trash-and-debris-in-rivers,,
School locations,tabular,Statewide,,,,,,Secondary,"Addresses, counties, watersystems of all California schools",Greg,https://drive.google.com/file/d/1dyWTW_fFZSmtmT-3ELLtYlDQLfJFyVJG/view?usp=sharing,,
Fishing line recycling stations,pdf,Statewide,N/A,N/A,2018,,,Secondary,,CA Boating and Waterways,https://dbw.parks.ca.gov/pages/28702/files/Station%20LocationsCAAug8_2018.pdf,Data needs to be scrubbed from pdf,
Solid Waste Facilitiy violations,tabular,Statewide,,https://www.calrecycle.ca.gov/SWFacilities/Enforcement/InvReadGuide,2010-2017,,,Secondary,,CalRecycle,https://www2.calrecycle.ca.gov/SWFacilities/Enforcement/Inventory/,,
Listing of Solid Waste Facilities and Disposal Sites Under Enforcement Orders,tabular,Statewide,,,2004-2018,,,Secondary,,CalRecycle,https://www2.calrecycle.ca.gov/SWFacilities/Enforcement/Orders/,,
Solid waste facilities,tabular,Statewide,https://www.calrecycle.ca.gov/SWFacilities/,N/A,2018,No,,Secondary,"The types of facilities found in this database include landfills, transfer stations, material recovery facilities, composting sites, transformation facilities, waste tire sites, and closed disposal sites. For each facility, the database contains information about location, owner, operator, facility type, regulatory and operational status, authorized waste types, local enforcement agency and inspection and enforcement records.",CalRecycle,https://www2.calrecycle.ca.gov/SWFacilities/Directory/,All active and closed facilities,
